country,year,obs,profit_sum,profit_mean
Australia,2001,4,188207981,47051995.25
Australia,2002,4,126438442,31609610.5
Australia,2003,3,716006494,238668831.3
Australia,2004,0,,
Australia,2005,1,324968763,324968763
Australia,2006,3,293642457,97880819
Australia,2007,4,198366813,49591703.25
Australia,2008,2,-106500232,-53250116
Australia,2009,1,57233629,57233629
Australia,2010,1,60073390,60073390
Australia,2011,2,36945489,18472744.5
Australia,2012,2,96027149,48013574.5
Australia,2013,4,130030765,32507691.25
Australia,2014,3,175606702,58535567.33
Australia,2015,0,,
Australia,2016,2,284057863,142028931.5
Australia,2017,0,,
Canada,2001,1,29958599,29958599
Canada,2002,4,268199596,67049899
Canada,2003,4,86138207,21534551.75
Canada,2004,3,187955693,62651897.67
Canada,2005,6,154093285,25682214.17
Canada,2006,9,330485377,36720597.44
Canada,2007,3,-22671434,-7557144.667
Canada,2008,7,447869305,63981329.29
Canada,2009,8,555778607,69472325.88
Canada,2010,6,398016500,66336083.33
Canada,2011,4,171560123,42890030.75
Canada,2012,8,382205365,47775670.63
Canada,2013,6,357770127,59628354.5
Canada,2014,8,44572222,5571527.75
Canada,2015,5,950493417,190098683.4
Canada,2016,1,244901337,244901337
Canada,2017,2,726958883,363479441.5
France,2001,2,262047134,131023567
France,2002,2,155057439,77528719.5
France,2003,2,121165,60582.5
France,2004,5,12890993,2578198.6
France,2005,4,100525574,25131393.5
France,2006,4,209614734,52403683.5
France,2007,2,78894624,39447312
France,2008,4,76786339,19196584.75
France,2009,4,-22159973,-5539993.25
France,2010,6,163460857,27243476.17
France,2011,4,-15642090,-3910522.5
France,2012,5,319096560,63819312
France,2013,6,71211873,11868645.5
France,2014,5,518118025,103623605
France,2015,3,-34490927,-11496975.67
France,2016,0,,
France,2017,1,425573161,425573161
Germany,2001,6,185674688,30945781.33
Germany,2002,5,831382095,166276419
Germany,2003,12,498568747,41547395.58
Germany,2004,8,193833386,24229173.25
Germany,2005,8,365752021,45719002.63
Germany,2006,7,266592903,38084700.43
Germany,2007,5,433128221,86625644.2
Germany,2008,7,932387928,133198275.4
Germany,2009,9,1513289665,168143296.1
Germany,2010,0,,
Germany,2011,2,31924232,15962116
Germany,2012,2,30933143,15466571.5
Germany,2013,2,77531861,38765930.5
Germany,2014,1,84984035,84984035
Germany,2015,1,493428261,493428261
Germany,2016,0,,
Germany,2017,0,,
United Kingdom,2001,1,851475550,851475550
United Kingdom,2002,4,466573646,116643411.5
United Kingdom,2003,5,466559966,93311993.2
United Kingdom,2004,5,616166729,123233345.8
United Kingdom,2005,8,1815714751,226964343.9
United Kingdom,2006,10,574089890,57408989
United Kingdom,2007,14,1404775452,100341103.7
United Kingdom,2008,6,845439826,140906637.7
United Kingdom,2009,5,728664907,145732981.4
United Kingdom,2010,9,559901498,62211277.56
United Kingdom,2011,9,1187843088,131982565.3
United Kingdom,2012,6,1245388128,207564688
United Kingdom,2013,9,1171183187,130131465.2
United Kingdom,2014,9,1176351139,130705682.1
United Kingdom,2015,9,1456411706,161823522.9
United Kingdom,2016,3,1716377846,572125948.7
United Kingdom,2017,2,315106075,157553037.5
United Kingdom,2018,2,385530487,192765243.5
United States of America,2001,41,3249830185,79264150.85
United States of America,2002,58,5118778359,88254799.29
United States of America,2003,44,4413907077,100316069.9
United States of America,2004,53,4938472675,93178729.72
United States of America,2005,55,2542663436,46230244.29
United States of America,2006,56,3238100933,57823230.95
United States of America,2007,77,5228443624,67901865.25
United States of America,2008,83,6545596396,78862607.18
United States of America,2009,61,8655806070,141898460.2
United States of America,2010,69,6232192778,90321634.46
United States of America,2011,86,8495737992,98787651.07
United States of America,2012,86,11463895518,133301110.7
United States of America,2013,102,11199322661,109797281
United States of America,2014,60,8786283328,146438055.5
United States of America,2015,57,8005572514,140448640.6
United States of America,2016,22,8556090874,388913221.5
United States of America,2017,7,2524068117,360581159.6
United States of America,2018,12,7129174799,594097899.9
