genre1,year,obs,profit_sum,profit_mean
Action,2001,10,356190803,35619080.3
Action,2018,7,4834182935,690597562.1428572
Action,2017,6,1946459331,324409888.5
Action,2016,14,5040830395,360059313.9285714
Action,2015,15,5058561188,337237412.53333336
Action,2014,18,3834805702,213044761.2222222
Action,2012,24,4020947363,167539473.45833334
Action,2011,19,2224877518,117098816.73684211
Action,2010,19,1322516872,69606151.15789473
Action,2013,28,3971479276,141838545.57142857
Action,2008,23,1023697821,44508600.91304348
Action,2007,19,1177384803,61967621.21052632
Action,2006,12,1323160032,110263336.0
Action,2005,14,524105952,37436139.428571425
Action,2004,12,1566412327,130534360.58333333
Action,2003,10,900818499,90081849.9
Action,2002,14,927631733,66259409.5
Action,2009,15,4095608743,273040582.8666667
Adventure,2011,10,1871519963,187151996.3
Adventure,2018,2,1731048074,865524037.0
Adventure,2017,2,346108822,173054411.0
Adventure,2016,7,3446432602,492347514.5714286
Adventure,2015,7,833465241,119066463.0
Adventure,2014,5,1271614027,254322805.4
Adventure,2012,6,1731916426,288652737.6666667
Adventure,2010,9,1527200596,169688955.1111111
Adventure,2013,7,1852190829,264598689.85714287
Adventure,2008,17,2466711130,145100654.70588234
Adventure,2002,9,2566572268,285174696.4444444
Adventure,2003,11,3129946305,284540573.1818182
Adventure,2004,7,2146363048,306623292.5714286
Adventure,2001,7,2505855331,357979333.0
Adventure,2006,10,542820298,54282029.8
Adventure,2007,11,2343742829,213067529.9090909
Adventure,2005,10,2007694864,200769486.4
Adventure,2009,7,1585719953,226531421.85714287
Animation,2017,1,183764262,183764262.0
Animation,2010,4,1450725237,362681309.25
Animation,2016,3,1441157459,480385819.6666667
Animation,2015,1,-2340714,-2340714.0
Animation,2014,2,149421557,74710778.5
Animation,2013,8,2932520022,366565002.75
Animation,2012,8,2163166391,270395798.875
Animation,2011,7,2019002381,288428911.5714286
Animation,2008,4,459663576,114915894.0
Animation,2007,2,537767331,268883665.5
Animation,2006,3,414987501,138329167.0
Animation,2005,2,62800675,31400337.5
Animation,2004,2,-14586550,-7293275.0
Animation,2003,2,834850380,417425190.0
Animation,2002,2,390028663,195014331.5
Animation,2001,2,513869981,256934990.5
Animation,2009,3,1366336966,455445655.3333333
Comedy,2010,21,1435303338,68347778.0
Comedy,2016,1,415435700,415435700.0
Comedy,2015,15,1091484706,72765647.06666666
Comedy,2014,13,686277750,52790596.15384615
Comedy,2013,24,1427646418,59485267.416666664
Comedy,2012,23,1304518593,56718199.69565217
Comedy,2011,25,1870694228,74827769.12
Comedy,2009,22,1642313653,74650620.5909091
Comedy,2006,25,1166509053,46660362.12
Comedy,2007,23,726517166,31587702.86956522
Comedy,2001,11,777360812,70669164.72727273
Comedy,2002,13,1197888544,92145272.61538461
Comedy,2003,16,1251451266,78215704.125
Comedy,2008,26,1693044548,65117098.0
Comedy,2005,17,456953881,26879640.05882353
Comedy,2004,20,940799459,47039972.95
Crime,2018,1,225474148,225474148.0
Crime,2016,1,5548152,5548152.0
Crime,2015,6,528352982,88058830.33333333
Crime,2014,4,90031957,22507989.25
Crime,2013,5,432284846,86456969.2
Crime,2012,7,252917412,36131058.85714286
Crime,2011,5,134298508,26859701.6
Crime,2009,4,129649870,32412467.5
Crime,2010,4,154618674,38654668.5
Crime,2006,3,222616816,74205605.33333333
Crime,2005,4,242339927,60584981.75
Crime,2004,1,103943,103943.0
Crime,2003,5,119398908,23879781.6
Crime,2002,6,240644787,40107464.5
Crime,2001,2,24682296,12341148.0
Crime,2008,1,58020255,58020255.0
Crime,2007,9,160260304,17806700.444444444
Drama,2018,3,701113934,233704644.66666666
Drama,2017,3,522226794,174075598.0
Drama,2016,4,417386294,104346573.5
Drama,2015,22,1752774125,79671551.13636364
Drama,2014,21,446217006,21248428.85714286
Drama,2013,37,1066422517,28822230.18918919
Drama,2012,23,1392267060,60533350.43478261
Drama,2010,23,1114241367,48445276.82608695
Drama,2011,30,784876309,26162543.633333333
Drama,2008,26,1356999547,52192290.26923077
Drama,2007,24,1036719899,43196662.458333336
Drama,2006,28,877256043,31330572.964285713
Drama,2005,26,519676994,19987576.692307692
Drama,2004,13,1193734286,91825714.3076923
Drama,2003,17,442849609,26049977.0
Drama,2002,22,1301888621,59176755.5
Drama,2001,18,653825923,36323662.38888889
Drama,2009,22,892223297,40555604.40909091
Family,2009,1,86793,86793.0
Family,2017,1,1103521126,1103521126.0
Family,2014,2,104954149,52477074.5
Family,2012,1,306222889,306222889.0
Family,2011,2,1246088990,623044495.0
Family,2008,2,487907900,243953950.0
Family,2002,1,49956806,49956806.0
Family,2006,2,-105709766,-52854883.0
Family,2005,1,457680671,457680671.0
Family,2004,1,-1297136,-1297136.0
Family,2003,2,154214455,77107227.5
Family,2007,1,40450008,40450008.0
Fantasy,2015,3,331471193,110490397.66666667
Fantasy,2014,2,1042662833,521331416.5
Fantasy,2013,4,149141215,37285303.75
Fantasy,2011,2,26093563,13046781.5
Fantasy,2010,2,53037991,26518995.5
Fantasy,2009,1,56353501,56353501.0
Fantasy,2012,1,90112671,90112671.0
Fantasy,2007,2,630871626,315435813.0
Fantasy,2006,3,165476083,55158694.333333336
Fantasy,2004,1,33318987,33318987.0
Fantasy,2003,4,680726214,170181553.5
Fantasy,2002,2,783718583,391859291.5
Fantasy,2001,1,-4729478,-4729478.0
Fantasy,2008,5,1103486204,220697240.8
Horror,2011,7,84594046,12084863.714285715
Horror,2016,2,382270766,191135383.0
Horror,2018,2,409463721,204731860.5
Horror,2015,5,313099116,62619823.2
Horror,2014,9,638823034,70980337.1111111
Horror,2013,9,561234873,62359430.333333336
Horror,2012,9,240089572,26676619.111111112
Horror,2010,6,302862367,50477061.166666664
Horror,2002,5,413941841,82788368.2
Horror,2008,5,167164789,33432957.8
Horror,2007,11,651703865,59245805.90909091
Horror,2006,6,280742038,46790339.666666664
Horror,2005,7,281533176,40219025.14285714
Horror,2004,6,436167983,72694663.83333333
Horror,2003,5,146660526,29332105.2
Horror,2001,1,-1126033,-1126033.0
Horror,2009,7,470490120,67212874.28571428
Mystery,2016,2,211262755,105631377.5
Mystery,2014,2,305697524,152848762.0
Mystery,2011,1,-1857846,-1857846.0
Mystery,2010,1,-8931318,-8931318.0
Mystery,2008,2,-13983363,-6991681.5
Mystery,2009,1,37709193,37709193.0
Mystery,2005,1,25944725,25944725.0
Mystery,2004,2,41775883,20887941.5
Mystery,2003,1,11726793,11726793.0
Mystery,2001,2,26930533,13465266.5
Mystery,2007,1,-14890340,-14890340.0
Romance,2015,2,483542987,241771493.5
Romance,2014,4,55271338,13817834.5
Romance,2013,2,93945391,46972695.5
Romance,2012,3,62913012,20971004.0
Romance,2011,2,122035260,61017630.0
Romance,2010,1,-12244788,-12244788.0
Romance,2009,3,237391225,79130408.33333333
Romance,2008,2,62063448,31031724.0
Romance,2006,3,217211462,72403820.66666667
Romance,2005,2,48945224,24472612.0
Romance,2004,3,49266464,16422154.666666666
Romance,2003,1,44646763,44646763.0
Romance,2002,3,12381944,4127314.6666666665
Science Fiction,2015,3,417547926,139182642.0
Science Fiction,2014,5,2415049892,483009978.4
Science Fiction,2013,6,1058579645,176429940.83333334
Science Fiction,2018,1,392400000,392400000.0
Science Fiction,2010,1,56821036,56821036.0
Science Fiction,2009,4,1110262584,277565646.0
Science Fiction,2012,5,2319763782,463952756.4
Science Fiction,2007,1,-64928486,-64928486.0
Science Fiction,2006,1,1070211,1070211.0
Science Fiction,2005,3,737287224,245762408.0
Science Fiction,2004,2,135318984,67659492.0
Science Fiction,2002,1,7312826,7312826.0
Science Fiction,2008,1,13712074,13712074.0
Thriller,2016,1,156388186,156388186.0
Thriller,2015,4,233190066,58297516.5
Thriller,2014,4,425874188,106468547.0
Thriller,2013,8,31815986,3976998.25
Thriller,2012,8,224041229,28005153.625
Thriller,2011,8,1043404814,130425601.75
Thriller,2009,5,246380018,49276003.6
Thriller,2010,2,65811605,32905802.5
Thriller,2007,5,72909303,14581860.6
Thriller,2005,2,-81884135,-40942067.5
Thriller,2004,3,267557481,89185827.0
Thriller,2003,1,5495563,5495563.0
Thriller,2002,3,135813832,45271277.333333336
Thriller,2001,4,683066321,170766580.25
Thriller,2008,3,65465883,21821961.0
